,granule_id,sigma_ml,sigma_err_ml,sigma_gradient,sigma_err_gradient,gradient_sigma_in_range_ml,ml_sigma_in_range_gradient,sigma_in_both_ranges,std_sigma_distance
0,10,8.927895109307167e-09,7.32150102395016e-08,2.454766714524068e-07,6.47486212940124e-08,False,False,False,-3.653340744800915
1,14,1.843241171415414e-07,8.239392142668669e-08,4.990335442463758e-07,1.5020003436627076e-07,False,False,False,-2.095268675754086
2,19,3.710466560053727e-07,2.2576687295839994e-07,9.670141505101121e-07,3.843448487266931e-07,False,False,False,-1.550606171720883
3,26,5.783682402154787e-08,5.4142721426050575e-08,3.7865920376279033e-07,1.302804597796819e-07,False,False,False,-2.4625517923699936
4,46,4.905633678334798e-07,3.2379809369123806e-07,2.4676370613552714e-07,8.215693836338979e-08,True,False,False,2.9674871843397828
5,65,8.567515286816038e-09,1.5349133564089717e-08,1.1114255641162291e-07,7.629104515272537e-08,False,False,False,-1.3445226883373291
6,76,7.105426479103322e-07,4.445756185963823e-07,1.9017242780041633e-06,7.920597199820105e-07,False,False,False,-1.5039038093249908
7,116,3.5530984203582946e-06,1.4542984211980917e-06,8.290783131487525e-06,3.782862840815961e-06,False,False,False,-1.2524072139256615
8,164,3.6941897026695404e-06,2.3898215874801373e-06,9.878302037074819e-06,1.0080414106711334e-05,False,True,False,-0.6134780048656953
9,166,2.3390073081208485e-06,7.692625131476495e-07,4.194366013903635e-06,2.6988124072265187e-06,False,True,False,-0.6874722751439691
10,169,1.5793908558759767e-06,8.571053546574919e-07,4.943514818020036e-06,1.3260033936145178e-06,False,False,False,-2.5370402356014203
11,188,1.2159435391349033e-06,3.8122917141994236e-07,3.0062481633901426e-06,1.4666883806832855e-06,False,False,False,-1.2206441721595904
12,190,9.545412805556561e-07,1.081911952064136e-06,2.7927017572099116e-06,2.8695201953424833e-06,False,True,False,-0.6405811255964579
13,200,8.53992167357774e-07,2.2203478621354604e-07,2.250831041567579e-06,6.078401963176698e-07,False,False,False,-2.2980363632940595
14,220,1.1766744565361454e-07,2.9574114905732307e-07,5.592793174331098e-07,5.300862275317205e-07,False,True,False,-0.8330944077453306
15,240,3.929481040935658e-07,2.3674279255693888e-07,9.808585423303333e-07,4.2520653141766305e-07,False,False,False,-1.3826467723264746
16,250,8.08489170392763e-07,5.325934852355424e-07,1.910901476856541e-06,8.706852352163594e-07,False,False,False,-1.2661433338648906
17,258,1.672328721947053e-06,8.765249341681666e-07,4.062364334900501e-06,4.571046716753456e-06,False,True,False,-0.5228639655319359
18,277,1.2689833954036648e-06,7.931073459994511e-07,2.9476032529036765e-06,2.4210644664537065e-06,False,True,False,-0.6933395953552601
19,292,6.197976594134786e-07,3.340490926681499e-07,1.4602785654342834e-06,7.646243800956353e-07,False,False,False,-1.0992075689709002
20,295,3.383973641267295e-08,4.831113674814667e-08,2.013161671111738e-07,1.4487260987676234e-07,False,False,False,-1.1560254960614482
21,351,3.354476529026205e-08,5.800206458547475e-08,3.290357765903063e-07,1.1212241101984009e-07,False,False,False,-2.635432190695195
22,371,4.7011330497557426e-07,3.169606589851747e-07,4.2858049111218816e-07,2.1875165121343944e-07,True,True,True,0.18986285878528925
23,379,1.641899118152845e-06,1.2904192738359399e-06,4.9165957499983564e-06,2.9198707599822475e-06,False,False,False,-1.1215210880996052
24,380,3.485957894197189e-07,2.671720221942453e-07,5.049138146449926e-07,4.377103001829374e-07,True,True,True,-0.35712667753064486
25,411,3.6856934105649055e-06,4.236712561112855e-06,7.208528904141941e-06,9.388515995740165e-06,True,True,True,-0.37522815055919867
26,425,1.249644711438664e-06,7.682378846657732e-07,3.0332930169503616e-06,1.2172771684582935e-06,False,False,False,-1.4652770558168973
