,granule_id,sigma_ml,sigma_err_ml,sigma_gradient,sigma_err_gradient,gradient_sigma_in_range_ml,ml_sigma_in_range_gradient,sigma_in_both_ranges,std_sigma_distance,std_sigma_distance_gradient_to_ml
0,2,6.904743462921752e-07,2.415237419449313e-07,4.862164196480959e-07,1.7375274580174787e-07,True,False,False,1.1755666116329346,0.84570537454927
1,9,6.543128215530646e-07,3.177590188054051e-07,4.960761491436195e-07,2.5703937278126854e-07,True,True,True,0.6156125837736888,0.4979769669617116
2,10,3.4688774269542063e-07,2.2020903258980124e-07,4.301324041583516e-07,2.437434990412743e-07,True,True,True,-0.3415256685423832,-0.3780256444702548
3,14,5.679993365349707e-07,2.7552840337165615e-07,7.904381588723658e-07,3.8396440135433716e-07,True,True,True,-0.5793214723885822,-0.8073172116391598
4,18,3.749805796742698e-07,1.9475054897847284e-07,5.560773175651025e-07,2.8673926423100263e-07,True,True,True,-0.6315728624627346,-0.9298907697089502
5,19,8.077420416228041e-08,7.285774231805588e-08,6.21912400345107e-08,1.1182425229962275e-07,True,True,True,0.1661800883584571,0.2550581933577759
6,22,3.7676875425185126e-07,2.4341840380908356e-07,6.56762464288065e-07,4.502492023186375e-07,False,True,False,-0.6218638669304396,-1.1502569471115944
7,32,2.9544774897023e-07,9.459533894642036e-08,2.7304972792045174e-07,1.6781635555431211e-07,True,True,True,0.13346745003367316,0.2367772165018059
8,37,4.903015122836467e-08,2.68352747690635e-08,9.280451361425851e-08,6.392586105472369e-08,False,True,False,-0.6847676615324872,-1.631224675826991
9,41,1.5382799075536382e-07,1.1217617242109196e-07,4.5635861484345894e-07,3.6075912348153384e-07,False,True,False,-0.8385945202674292,-2.6969241110531215
10,79,4.2661590679720663e-08,6.345847714440208e-08,3.419233084667925e-07,5.707552301854173e-07,False,True,False,-0.5243258440047106,-4.7158666777661695
