                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63388,                  0.963,                 1.7343,                 1.4425,                0.99992,                      1,                  0.995,                0.85794,                0.99992,                      1,                  0.995,                0.82923,                0.56677,                0.97836,                0.51996,                 1.5563,             0.00066542,             0.00066542,             0.00066542
                      2,                0.60631,                0.91576,                0.53831,                 1.3963,                0.99857,                0.99895,                0.99498,                0.81404,                0.99962,                      1,                  0.995,                0.80605,                0.77578,                 1.2804,                0.41794,                  1.929,              0.0012002,              0.0012002,              0.0012002
                      3,                0.57795,                0.85492,                0.36901,                 1.3535,                0.99767,                0.99895,                  0.995,                0.88401,                0.99767,                0.99895,                  0.995,                0.88923,                0.53739,                 0.8112,                0.31355,                 1.4637,               0.001603,               0.001603,               0.001603
                      4,                0.52678,                0.76751,                 0.3205,                 1.2614,                0.99992,                      1,                  0.995,                0.92463,                0.99992,                      1,                  0.995,                0.94224,                0.44178,                0.62937,                0.26565,                 1.3271,               0.001406,               0.001406,               0.001406
                      5,                0.50017,                0.71989,                0.30241,                 1.2333,                0.99945,                      1,                  0.995,                0.92092,                0.99945,                      1,                  0.995,                0.92548,                0.44507,                 0.6544,                0.24786,                 1.3375,               0.001406,               0.001406,               0.001406
                      6,                 0.4607,                0.66338,                0.27724,                 1.1741,                0.99997,                      1,                  0.995,                0.95117,                0.99997,                      1,                  0.995,                0.95799,                0.36804,                0.55994,                0.22268,                 1.1859,               0.001208,               0.001208,               0.001208
                      7,                0.42563,                0.60719,                0.25821,                 1.1197,                0.99895,                0.99934,                  0.995,                0.95391,                0.99895,                0.99934,                  0.995,                0.95571,                0.37701,                0.57213,                0.21746,                 1.1944,                0.00101,                0.00101,                0.00101
                      8,                0.39719,                0.56761,                0.24195,                 1.0797,                0.99685,                0.99994,                0.99489,                0.96857,                0.99685,                0.99994,                0.99489,                0.96788,                 0.3177,                0.50975,                0.19733,                 1.1057,               0.000812,               0.000812,               0.000812
                      9,                0.37927,                0.53313,                0.22958,                 1.0466,                0.99995,                      1,                  0.995,                0.97593,                0.99995,                      1,                  0.995,                0.97373,                0.29593,                0.46759,                0.17915,                 1.0713,               0.000614,               0.000614,               0.000614
                     10,                0.34653,                0.49095,                0.21455,                 1.0032,                0.99895,                0.99996,                  0.995,                0.97752,                0.99895,                0.99996,                  0.995,                0.97623,                0.28205,                0.43289,                 0.1762,                 1.0475,               0.000416,               0.000416,               0.000416
