                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4575,                 1.7376,                 2.5093,                0.90822,                0.00933,                0.29136,                0.06366,                0.04713,                0.01357,                0.42352,                0.06662,                0.04379,                0.97125,                0.95334,                 3.2709,                0.80939,             0.00065497,             0.00065497,             0.00065497
                      2,                0.90483,                0.93369,                  1.387,                0.80289,                0.86359,                0.68574,                0.81965,                0.66102,                0.86097,                0.68366,                0.81511,                0.45004,                0.81008,                 0.7301,                 1.6165,                0.79844,              0.0013086,              0.0013086,              0.0013086
                      3,                 0.8435,                0.83375,                 1.1673,                0.80334,                0.81787,                0.73153,                0.84014,                0.65962,                0.81787,                0.73153,                0.83906,                0.52105,                0.81552,                0.69739,                 1.1021,                0.80226,              0.0019489,              0.0019489,              0.0019489
                      4,                0.81699,                0.77616,                 1.0348,                0.80514,                0.80638,                0.75026,                0.86692,                 0.6954,                0.80638,                0.75026,                0.86673,                0.50756,                0.69099,                0.75837,                0.95371,                0.79263,              0.0019406,              0.0019406,              0.0019406
                      5,                0.75327,                  0.771,                0.94122,                0.79643,                0.81553,                0.78669,                0.87768,                 0.7315,                 0.8082,                0.77627,                0.86261,                0.49273,                 0.6027,                0.64946,                0.87727,                0.78922,              0.0019406,              0.0019406,              0.0019406
                      6,                0.74752,                0.76028,                0.91212,                0.79599,                0.81121,                0.74194,                0.85242,                0.68985,                0.81007,                0.74089,                0.84901,                0.50397,                0.62417,                0.58324,                0.87407,                0.78621,              0.0019208,              0.0019208,              0.0019208
                      7,                0.70549,                0.70373,                0.85344,                0.79327,                0.79636,                0.78252,                0.86502,                0.71727,                 0.7953,                0.78148,                0.86298,                0.53672,                0.66002,                0.55829,                0.84433,                0.78727,               0.001901,               0.001901,               0.001901
                      8,                0.66266,                0.58669,                0.80098,                0.79023,                0.84245,                0.75234,                0.88222,                0.74916,                0.83546,                 0.7461,                0.87186,                0.52049,                0.56095,                0.53577,                0.77835,                0.78381,              0.0018812,              0.0018812,              0.0018812
                      9,                0.63348,                0.61832,                0.76975,                0.78925,                0.83851,                0.77804,                0.88758,                0.75925,                0.83851,                0.77804,                0.88664,                0.57654,                0.54799,                0.50932,                 0.7546,                0.78024,              0.0018614,              0.0018614,              0.0018614
                     10,                 0.6069,                0.58794,                0.75844,                0.78521,                 0.8156,                0.78356,                0.89089,                0.73207,                0.81081,                0.77599,                0.87051,                 0.4351,                0.66475,                0.83712,                0.80563,                0.79006,              0.0018416,              0.0018416,              0.0018416
                     11,                0.66081,                0.62449,                0.76517,                0.78741,                0.83863,                0.77335,                0.89169,                0.74919,                0.83599,                0.76909,                0.88545,                0.51089,                0.54535,                0.62884,                0.74486,                0.78746,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.5971,                0.56408,                0.72048,                0.78483,                0.84555,                0.76483,                0.88478,                0.76605,                 0.8432,                  0.761,                0.87853,                0.55569,                0.50104,                0.48327,                0.74529,                0.78194,               0.001802,               0.001802,               0.001802
                     13,                0.58007,                0.54176,                0.70174,                0.78315,                0.81776,                0.80645,                0.90182,                0.77459,                0.81776,                0.80645,                0.90125,                0.54082,                0.54725,                 0.4922,                0.72561,                0.78026,              0.0017822,              0.0017822,              0.0017822
                     14,                0.59866,                0.57573,                0.70405,                0.78258,                0.82669,                0.80408,                0.90174,                0.77009,                0.82455,                  0.802,                0.89586,                0.55835,                0.55752,                0.57133,                 0.6862,                0.78604,              0.0017624,              0.0017624,              0.0017624
                     15,                0.58931,                0.52327,                0.68794,                0.78322,                 0.8334,                0.77107,                0.89792,                0.75987,                 0.8334,                0.77107,                0.89779,                 0.5374,                0.56641,                0.49222,                0.71581,                0.78079,              0.0017426,              0.0017426,              0.0017426
                     16,                0.55644,                 0.5099,                0.67213,                0.77977,                0.83053,                0.81998,                0.90657,                0.79057,                0.83053,                0.81998,                0.90622,                0.56529,                 0.4983,                0.48431,                0.66591,                0.77862,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.5393,                0.48187,                0.66147,                0.77647,                0.80052,                0.78924,                0.89401,                0.77552,                0.79946,                 0.7882,                0.89086,                0.53524,                0.49863,                0.43205,                0.72105,                0.77865,               0.001703,               0.001703,               0.001703
                     18,                0.54839,                0.55272,                0.66459,                0.77864,                0.82345,                0.80541,                 0.9067,                0.79812,                0.82345,                0.80541,                0.90584,                0.56018,                0.46281,                0.49101,                0.64704,                0.77615,              0.0016832,              0.0016832,              0.0016832
                     19,                0.52393,                0.50736,                0.65082,                 0.7792,                0.85755,                0.76275,                0.90477,                0.79378,                0.85755,                0.76275,                  0.904,                0.54673,                0.46885,                0.48946,                0.65503,                 0.7772,              0.0016634,              0.0016634,              0.0016634
                     20,                0.50858,                0.48218,                0.64469,                 0.7751,                0.80808,                 0.8231,                0.90385,                0.78147,                0.80569,                0.81981,                0.89547,                0.53724,                0.51185,                  0.471,                0.67244,                0.77744,              0.0016436,              0.0016436,              0.0016436
                     21,                0.51614,                0.48806,                0.65116,                 0.7797,                0.84307,                0.79382,                0.90668,                0.79131,                0.84307,                0.79382,                0.90651,                0.56732,                0.50183,                0.42522,                0.65732,                 0.7763,              0.0016238,              0.0016238,              0.0016238
                     22,                0.51246,                 0.4959,                0.64664,                0.77814,                0.83202,                0.80229,                0.90551,                0.78821,                0.83094,                0.80125,                 0.9025,                0.53106,                0.48207,                0.51195,                0.66659,                0.77714,               0.001604,               0.001604,               0.001604
                     23,                0.52382,                0.47591,                0.64261,                0.77987,                0.81573,                 0.8179,                0.90627,                0.79603,                0.81573,                 0.8179,                0.90578,                0.54857,                0.45544,                0.42537,                0.66388,                0.77614,              0.0015842,              0.0015842,              0.0015842
                     24,                0.51441,                0.44865,                0.63332,                0.77828,                0.84522,                0.80957,                0.90585,                0.79629,                0.84522,                0.80957,                0.90492,                0.54232,                0.47667,                0.45958,                 0.6704,                0.77827,              0.0015644,              0.0015644,              0.0015644
                     25,                0.49063,                0.45517,                0.62878,                0.77912,                 0.8522,                  0.804,                0.90906,                0.80223,                 0.8522,                  0.804,                0.90835,                0.55443,                  0.437,                0.40514,                0.63662,                0.77484,              0.0015446,              0.0015446,              0.0015446
                     26,                0.49684,                0.46791,                0.63788,                0.77698,                0.81703,                0.78528,                0.89861,                0.77953,                0.81703,                0.78528,                0.89861,                0.57346,                0.48278,                0.45145,                0.67531,                0.77817,              0.0015248,              0.0015248,              0.0015248
                     27,                0.50448,                 0.4872,                0.63646,                0.77733,                0.84037,                0.80541,                0.90991,                0.79746,                0.83928,                0.80437,                0.90775,                0.56125,                0.47397,                0.44629,                0.65604,                0.77704,               0.001505,               0.001505,               0.001505
